City	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
Bellevue		Redmond		Redmond	Redmond		
Bothell			Edmonds			Edmonds	
Clyde Hill		Redmond			Redmond		
Edmonds					Edmonds		
Issaquah			Redmond				Redmond
Kenmore			Edmonds			Edmonds	
Kirkland						Redmond	
Lynnwood					Edmonds		
Medina		Redmond			Redmond		
Newcastle				Redmond			
Redmond						Redmond	
Sammamish			Redmond				Redmond
Seattle	Edmonds				Edmonds		Edmonds
Shoreline							Edmonds
Woodinville			Edmonds			Edmonds	
Renton				Redmond	Redmond		
Beaux Arts Village		Redmond					
Mountlake Terrace			Edmonds			Edmonds	
